stop_name;direction_id;ligne;stop_id;stop_id_gtfs;stop_name_gtfs;jaccard;distance
LES BOUVETS;1;159;51;StopPoint:59:6195743;LES BOUVETS;0;32.43729609
PONT DE SEVRES;0;160;41;StopPoint:59:5419720;PONT DE SEVRES;0;84.01896514
LYCEE EJMAREY;0;160;2;StopPoint:59:4024392;LYCEE EJ MAREY;0.016180284;41.71405574
SILLYGALLIENI;0;160;3;StopPoint:59:4024394;SILLY  GALLIENI;0.058876052;14.0821391
ANDRE MORIZET;0;160;4;StopPoint:59:4024396;ANDRE MORIZET;0;12.25547385
PONT DE ST CLOUDALBERT KAHN;0;160;5;StopPoint:59:4008265;PONT DE SAINTCLOUD  ALBERT KAHN;0.018860939;14.06311669
RHIN ET DANUBE;0;160;6;StopPoint:59:3442587;RHIN ET DANUBEMETRO;0.065801267;90.0328451
ESPLANADE CHARLES DE GAULLE;0;160;115;StopPoint:59:7069330;ESPLANADE CHARLES DE GAULLE;0;93.26689213
PARC DE SAINTCLOUD;0;160;8;StopPoint:59:7069274;PARC DE SAINTCLOUD;0;23.17833549
CHEVRILLON;0;160;9;StopPoint:59:7069276;CHEVRILLON;0;20.059849
GARE DE SAINTCLOUD;0;160;10;StopPoint:59:7069278;GARE DE SAINTCLOUD;0;20.64511848
COLLEGE GOUNOD;0;160;11;StopPoint:59:7069280;COLLEGE GOUNOD;0;43.96848191
GENERAL LECLERC;0;160;12;StopPoint:59:7069282;GENERAL LECLERC;0;26.4066045
MARCHE;0;160;13;StopPoint:59:4024411;MARCHE DE SAINTCLOUD;0.329179607;13.55336651
MONTRETOUT;0;160;14;StopPoint:59:4024413;MONTRETOUT;0;27.82146311
LYCEE;0;160;15;StopPoint:59:4024415;LYCEE DE SAINTCLOUD;0.276253136;29.09990803
MARIE BONAPARTE;0;160;16;StopPoint:59:4024417;MARIE BONAPARTE;0;26.41745812
LA BERANGERE;0;160;17;StopPoint:59:4024419;LA BERENGERE;0.038321688;31.57905017
VAL DOR;0;160;18;StopPoint:59:4024216;VAL DOR;0;27.7650401
CROIX DU ROY;0;160;19;StopPoint:59:4024422;CROIX DU ROY;0;20.15888503
EDOUARD VAILLANT;0;160;20;StopPoint:59:4024423;EDOUARD VAILLANT;0;18.00212093
LES BONS RAISINS;0;160;22;StopPoint:59:4024425;LES BONS RAISINS;0;24.66032315
CLUSERETHOPITAL FOCH;0;160;23;StopPoint:59:4024427;CLUSERET  HOPITAL FOCH;0.04967111;32.46137836
MONT VALERIEN;0;160;24;StopPoint:59:4024429;MONT VALERIEN;0;14.31796175
PLAIDEURSVAILLANT COUTURIER;0;160;25;StopPoint:59:7069304;PLAIDEURS  VAILLANTCOUTURIER;0.007714181;29.24393602
CALVAIREMAIRIE ANNEXE;0;160;26;StopPoint:59:7069306;CALVAIRE  MAIRIE ANNEXE;0.031670336;18.92296531
DANIEL BECKER;0;160;27;StopPoint:59:7069308;DANIEL BECKER;0;9.835461291
PIERRE SERGENT;0;160;28;StopPoint:59:7069310;PIERRE SERGENT;0;118.9806272
PLACE DE LA BOULEJOLIOT CURIE;0;160;30;StopPoint:59:7069312;PLACE DE LA BOULE  JOLIOT CURIE;0.016242379;29.89623122
LES VENETS;0;160;31;StopPoint:59:7069314;LES VENETS;0;9.68072903
PLAINCHAMP;0;160;32;StopPoint:59:7069315;PLAINCHAMP;0;19.16183074
RUE DES ANCIENNES MAIRIES;0;160;33;StopPoint:59:7069317;RUE DES ANCIENNES MAIRIES;0;16.08357543
NANTERREVILLE RER;0;160;34;StopPoint:59:7069319;NANTERREVILLE RER;0;11.62634803
PAUL BERT;0;160;35;StopPoint:59:7069320;PAUL BERT;0;15.29147972
